ward,new_preds
21305020: Ward 20,36.025764
21305021: Ward 21,34.56901
21306001: Ward 1,32.354156
21306002: Ward 2,35.069042
21306003: Ward 3,32.704327
21306004: Ward 4,29.128176
21306005: Ward 5,33.61771
21306006: Ward 6,32.93455
21306007: Ward 7,35.540962
21306008: Ward 8,35.327938
21306009: Ward 9,37.280922
21306010: Ward 10,32.57291
21306011: Ward 11,29.118639
21306012: Ward 12,35.116535
21306013: Ward 13,33.493862
21306014: Ward 14,27.161057
21306015: Ward 15,27.45455
21306016: Ward 16,25.980188
21306017: Ward 17,30.144249
21307001: Ward 1,36.098354
21307002: Ward 2,39.11506
21307003: Ward 3,37.359745
21307004: Ward 4,36.71318
21307005: Ward 5,35.50344
21307006: Ward 6,37.016304
21307007: Ward 7,37.83748
21307008: Ward 8,34.14222
21307009: Ward 9,33.916195
21307010: Ward 10,32.503613
21307011: Ward 11,21.347244
21307012: Ward 12,38.67238
21307013: Ward 13,40.662006
21307014: Ward 14,35.41282
21307015: Ward 15,38.39542
21307016: Ward 16,37.05506
21307017: Ward 17,31.763117
21307018: Ward 18,33.2882
21307019: Ward 19,39.581966
21307020: Ward 20,38.17668
21308001: Ward 1,20.461905
21308002: Ward 2,28.497202
21308003: Ward 3,33.405346
21308004: Ward 4,22.130688
21308005: Ward 5,28.295332
21308006: Ward 6,31.980911
21308007: Ward 7,33.529068
21308008: Ward 8,31.8536
21308009: Ward 9,36.525757
21401001: Ward 1,30.036253
21401002: Ward 2,27.164759
21401003: Ward 3,27.758472
21401004: Ward 4,24.206347
21401005: Ward 5,30.36104
21401006: Ward 6,34.373405
21401007: Ward 7,31.76478
21401008: Ward 8,35.308086
21401009: Ward 9,35.70935
21401010: Ward 10,36.433365
21401011: Ward 11,35.042805
21401012: Ward 12,32.22086
21401013: Ward 13,34.538372
21401014: Ward 14,39.747402
21401015: Ward 15,37.90562
21401016: Ward 16,31.774109
21401017: Ward 17,25.315254
21402001: Ward 1,36.235973
21402002: Ward 2,36.07942
21402003: Ward 3,29.611912
21402004: Ward 4,34.048203
21402005: Ward 5,35.00307
21402006: Ward 6,36.994118
21402007: Ward 7,35.22983
21402008: Ward 8,29.178822
21402009: Ward 9,31.928879
21402010: Ward 10,27.738531
21402011: Ward 11,33.502277
21402012: Ward 12,30.534077
21402013: Ward 13,31.397509
21402014: Ward 14,27.067526
21402015: Ward 15,26.240097
21402016: Ward 16,23.096375
21402017: Ward 17,35.711533
21503001: Ward 1,41.708607
21503002: Ward 2,43.06243
21503003: Ward 3,43.33246
21503004: Ward 4,39.77883
21503005: Ward 5,40.784683
21503006: Ward 6,31.92464
21503007: Ward 7,38.641056
21503008: Ward 8,41.91465
21503009: Ward 9,38.799286
21503010: Ward 10,39.365536
21503011: Ward 11,39.181908
21503012: Ward 12,42.058933
21503013: Ward 13,36.53503
21503014: Ward 14,30.291601
21503015: Ward 15,22.13014
21503016: Ward 16,39.351032
21503017: Ward 17,34.45192
21503018: Ward 18,37.615578
21503019: Ward 19,33.002064
21503020: Ward 20,36.696568
21503021: Ward 21,34.71915
21503022: Ward 22,37.47892
21503023: Ward 23,39.076015
21503024: Ward 24,41.839394
21503025: Ward 25,44.039577
21503026: Ward 26,42.385807
21503027: Ward 27,36.597458
21503028: Ward 28,38.110867
21503029: Ward 29,38.894382
21503030: Ward 30,41.20121
21503031: Ward 31,41.345932
21504001: Ward 1,40.884007
21504002: Ward 2,39.487362
21504003: Ward 3,36.569813
21504004: Ward 4,40.564934
21504005: Ward 5,33.673347
21504006: Ward 6,24.679379
21504007: Ward 7,39.951054
21504008: Ward 8,39.79336
21504009: Ward 9,36.173496
21504010: Ward 10,43.14218
21504011: Ward 11,40.36339
21504012: Ward 12,39.816036
21504013: Ward 13,41.854103
21504014: Ward 14,37.770157
21504015: Ward 15,37.73784
21504016: Ward 16,38.39545
21504017: Ward 17,41.226006
21504018: Ward 18,39.99197
21504019: Ward 19,38.785564
21504020: Ward 20,37.817665
21505001: Ward 1,38.717567
21505002: Ward 2,42.607822
21505003: Ward 3,36.3741
21505004: Ward 4,36.711502
21505005: Ward 5,42.918213
21505006: Ward 6,40.71015
21505007: Ward 7,30.473804
21505008: Ward 8,37.942635
21505009: Ward 9,37.391796
21505010: Ward 10,35.83594
21505011: Ward 11,34.012886
21505012: Ward 12,27.158197
21505013: Ward 13,37.202183
21505014: Ward 14,36.551525
21505015: Ward 15,34.584034
21505016: Ward 16,42.216843
21505017: Ward 17,39.728867
21505018: Ward 18,41.515408
21505019: Ward 19,39.290276
21505020: Ward 20,39.854187
21505021: Ward 21,31.91201
21505022: Ward 22,39.709557
21505023: Ward 23,45.03654
21505024: Ward 24,39.55441
21505025: Ward 25,40.330753
21505026: Ward 26,40.56846
21505027: Ward 27,39.465042
21505028: Ward 28,38.414516
21505029: Ward 29,36.09773
21505030: Ward 30,35.860153
21505031: Ward 31,36.570663
21506001: Ward 1,40.751568
21506002: Ward 2,27.61046
21506003: Ward 3,34.650127
21506004: Ward 4,35.73162
21506005: Ward 5,38.22957
21506006: Ward 6,30.625254
21506007: Ward 7,37.870705
21506008: Ward 8,40.059044
21506009: Ward 9,37.088966
21506010: Ward 10,43.776974
21506011: Ward 11,44.16612
21506012: Ward 12,36.24852
21506013: Ward 13,41.091503
21506014: Ward 14,34.74444
21506015: Ward 15,33.98921
21506016: Ward 16,37.193104
21506017: Ward 17,37.974537
21506018: Ward 18,33.204967
21506019: Ward 19,37.58997
21506020: Ward 20,34.250492
21506021: Ward 21,34.682148
21506022: Ward 22,38.3352
21506023: Ward 23,39.136642
21506024: Ward 24,38.897926
21506025: Ward 25,36.171486
21506026: Ward 26,35.638126
21507001: Ward 1,26.892487
21507002: Ward 2,25.892912
21507003: Ward 3,27.38067
21507004: Ward 4,23.092428
21507005: Ward 5,11.80612
21507006: Ward 6,11.659303
21507007: Ward 7,20.696789
21507008: Ward 8,14.274459
21507009: Ward 9,26.51116
21507010: Ward 10,32.820503
21507011: Ward 11,34.361126
21507012: Ward 12,31.166616
21507013: Ward 13,19.88685
21507014: Ward 14,31.699486
21507015: Ward 15,37.431774
21507016: Ward 16,36.901577
21507017: Ward 17,39.839752
21507018: Ward 18,37.41067
21507019: Ward 19,34.682026
21507020: Ward 20,39.808617
21507021: Ward 21,37.28039
21507022: Ward 22,37.72151
21507023: Ward 23,36.97543
21507024: Ward 24,39.154846
21507025: Ward 25,42.866966
21507026: Ward 26,37.632504
21507027: Ward 27,41.247494
21507028: Ward 28,35.975433
21507029: Ward 29,34.0729
21507030: Ward 30,29.521843
21507031: Ward 31,35.41753
21507032: Ward 32,36.260338
21507033: Ward 33,29.960005
21507034: Ward 34,38.333942
21507035: Ward 35,35.84624
24401001: Ward 1,31.61403
24401002: Ward 2,36.123398
24401003: Ward 3,37.960182
24401004: Ward 4,39.607254
24401005: Ward 5,35.029736
24401006: Ward 6,38.29737
24401007: Ward 7,38.660896
24401008: Ward 8,37.863228
24401009: Ward 9,40.86952
24401010: Ward 10,38.20032
24401011: Ward 11,36.08565
24401012: Ward 12,35.563038
24401013: Ward 13,37.055943
24401014: Ward 14,36.929962
24401015: Ward 15,41.104187
24401016: Ward 16,36.041374
24401017: Ward 17,38.665062
24401018: Ward 18,37.640347
24401019: Ward 19,17.06791
24401020: Ward 20,28.243574
24401021: Ward 21,33.584873
24401022: Ward 22,36.99347
24401023: Ward 23,37.117683
24401024: Ward 24,33.01002
24401025: Ward 25,38.287487
24401026: Ward 26,24.795618
24402001: Ward 1,37.91288
24402002: Ward 2,41.77017
24402003: Ward 3,40.134544
24402004: Ward 4,38.809338
24402005: Ward 5,37.871964
24402006: Ward 6,41.263885
24402007: Ward 7,30.570213
24402008: Ward 8,36.836025
24402009: Ward 9,36.95528
24402010: Ward 10,39.960938
24402011: Ward 11,37.81877
24402012: Ward 12,41.599846
24402013: Ward 13,39.492523
24402014: Ward 14,37.712765
24402015: Ward 15,36.04081
24402016: Ward 16,32.742188
24402017: Ward 17,35.389984
24402018: Ward 18,24.666115
24402019: Ward 19,36.478195
24402020: Ward 20,38.318207
24402021: Ward 21,36.354797
24402022: Ward 22,31.054731
24402023: Ward 23,39.839603
24402024: Ward 24,41.881493
24402025: Ward 25,35.480434
24402026: Ward 26,39.997356
24402027: Ward 27,34.280613
24403001: Ward 1,32.397724
24403002: Ward 2,41.0043
24403003: Ward 3,39.007896
24403004: Ward 4,34.316833
24403005: Ward 5,40.190975
24403006: Ward 6,39.54798
24403007: Ward 7,39.732327
24403008: Ward 8,35.063244
24403009: Ward 9,41.3571
24403010: Ward 10,39.411507
24403011: Ward 11,42.56768
24403012: Ward 12,41.0304
24403013: Ward 13,34.75275
24403014: Ward 14,42.505688
24403015: Ward 15,40.98718
24403016: Ward 16,41.707836
24403017: Ward 17,35.822037
24403018: Ward 18,37.419437
24403019: Ward 19,40.090736
24403020: Ward 20,38.87295
24403021: Ward 21,39.307335
24403022: Ward 22,38.972946
24403023: Ward 23,35.66308
24403024: Ward 24,26.850166
24403025: Ward 25,46.215847
24403026: Ward 26,36.761986
24403027: Ward 27,41.09514
24403028: Ward 28,39.40151
24403029: Ward 29,38.504677
24403030: Ward 30,39.5267
24403031: Ward 31,37.923416
24404001: Ward 1,40.72517
24404002: Ward 2,39.573395
24404003: Ward 3,36.486656
24404004: Ward 4,41.431274
24404005: Ward 5,42.51593
24404006: Ward 6,42.05555
24404007: Ward 7,38.172806
24404008: Ward 8,35.356205
24404009: Ward 9,33.90769
24404010: Ward 10,37.919777
24404011: Ward 11,36.17236
24404012: Ward 12,36.73568
24404013: Ward 13,37.962955
24404014: Ward 14,36.43307
24404015: Ward 15,42.245655
24404016: Ward 16,37.602528
24404017: Ward 17,41.017757
29200001: Ward 1,23.523668
29200002: Ward 2,23.197617
29200003: Ward 3,15.481825
29200004: Ward 4,5.00574
29200005: Ward 5,26.267519
29200006: Ward 6,22.765394
29200007: Ward 7,26.622967
29200008: Ward 8,25.88346
29200009: Ward 9,14.573369
29200010: Ward 10,15.113343
29200011: Ward 11,25.408928
29200012: Ward 12,23.532156
29200013: Ward 13,24.455553
29200014: Ward 14,25.21418
29200015: Ward 15,12.539933
29200016: Ward 16,10.331715
29200017: Ward 17,24.502739
29200018: Ward 18,6.0310793
29200019: Ward 19,14.602401
29200020: Ward 20,24.392687
29200021: Ward 21,20.292706
29200022: Ward 22,22.337389
29200023: Ward 23,21.90954
29200024: Ward 24,27.070362
29200025: Ward 25,21.229668
29200026: Ward 26,27.73403
29200027: Ward 27,5.9571877
29200028: Ward 28,13.616023
29200029: Ward 29,16.660934
29200030: Ward 30,24.525871
29200031: Ward 31,17.607563
29200032: Ward 32,32.367702
29200033: Ward 33,28.84089
29200034: Ward 34,28.214409
29200035: Ward 35,12.9108
29200036: Ward 36,27.086546
29200037: Ward 37,15.286422
29200038: Ward 38,31.730974
29200039: Ward 39,21.124308
29200040: Ward 40,29.41122
29200041: Ward 41,20.148064
29200042: Ward 42,25.106869
29200043: Ward 43,19.127186
29200044: Ward 44,17.742357
29200045: Ward 45,23.12953
29200046: Ward 46,13.569165
29200047: Ward 47,17.204617
29200048: Ward 48,23.58395
29200049: Ward 49,33.27751
29200050: Ward 50,28.962841
29300001: Ward 1,5.723701
29300002: Ward 2,8.62481
29300003: Ward 3,5.934712
29300004: Ward 4,18.223022
29300005: Ward 5,11.718898
29300006: Ward 6,4.3406076
29300007: Ward 7,8.582698
29300008: Ward 8,4.8752513
29300009: Ward 9,2.9227774
29300010: Ward 10,11.625123
29300011: Ward 11,13.039957
29300012: Ward 12,6.8191404
29300013: Ward 13,19.82117
29300014: Ward 14,20.252312
29300015: Ward 15,22.975988
29300016: Ward 16,23.164295
29300017: Ward 17,23.56058
29300018: Ward 18,24.485682
29300019: Ward 19,25.491898
29300020: Ward 20,23.546263
29300021: Ward 21,21.248562
29300022: Ward 22,21.67696
29300023: Ward 23,18.457901
29300024: Ward 24,22.230923
29300025: Ward 25,19.951487
29300026: Ward 26,20.406055
29300027: Ward 27,23.942547
29300028: Ward 28,20.500748
29300029: Ward 29,13.936102
29300030: Ward 30,20.309628
29300031: Ward 31,15.409408
29300032: Ward 32,15.948498
29300033: Ward 33,22.463032
29300034: Ward 34,15.645061
29300035: Ward 35,13.245804
29300036: Ward 36,15.666507
29300037: Ward 37,19.622831
29300038: Ward 38,22.355892
29300039: Ward 39,4.9286475
29300040: Ward 40,14.959281
29300041: Ward 41,15.853683
29300042: Ward 42,25.801556
29300043: Ward 43,23.080906
29300044: Ward 44,24.706402
29300045: Ward 45,22.211895
29300046: Ward 46,21.15902
29300047: Ward 47,24.630919
29300048: Ward 48,15.541374
29300049: Ward 49,12.629987
29300050: Ward 50,21.60193
29300051: Ward 51,5.186263
29300052: Ward 52,11.456402
29300053: Ward 53,13.592893
29300054: Ward 54,22.387901
29300055: Ward 55,24.278831
29300056: Ward 56,22.865656
29300057: Ward 57,23.507345
29300058: Ward 58,19.940622
29300059: Ward 59,15.755125
29300060: Ward 60,16.113483
10101001: Ward 1,15.097497
10101002: Ward 2,13.710169
10101003: Ward 3,19.29131
10101004: Ward 4,16.94937
10101005: Ward 5,9.6089325
10101006: Ward 6,16.27612
10101007: Ward 7,12.614725
10101008: Ward 8,15.037243
10102001: Ward 1,18.612808
10102002: Ward 2,14.986396
10102003: Ward 3,17.935709
10102004: Ward 4,14.2948065
10102005: Ward 5,13.289714
10102006: Ward 6,20.218822
10103001: Ward 1,12.617643
10103002: Ward 2,17.058311
10103003: Ward 3,13.154248
10103004: Ward 4,16.2281
10103005: Ward 5,14.129161
10103006: Ward 6,7.0667586
10103007: Ward 7,11.768374
10104001: Ward 1,15.982873
10104002: Ward 2,15.820311
10104003: Ward 3,12.291054
10104004: Ward 4,19.72872
10104005: Ward 5,4.21463
10104006: Ward 6,4.8277917
10104007: Ward 7,15.0250435
10104008: Ward 8,5.811218
10104009: Ward 9,12.886374
10104010: Ward 10,6.916553
10104011: Ward 11,9.366904
10104012: Ward 12,17.228365
10104013: Ward 13,9.563932
10105001: Ward 1,10.995754
10105002: Ward 2,14.913114
10105003: Ward 3,14.072161
10105004: Ward 4,15.224343
10105005: Ward 5,10.324569
10105006: Ward 6,15.557803
10105007: Ward 7,16.675566
10105008: Ward 8,8.281092
10105009: Ward 9,18.364986
10105010: Ward 10,5.861663
10105011: Ward 11,17.077967
10105012: Ward 12,13.892764
10202001: Ward 1,22.049736
10202002: Ward 2,14.916087
10202003: Ward 3,11.612184
10202004: Ward 4,12.449089
10202005: Ward 5,12.077417
10202006: Ward 6,15.207075
10202007: Ward 7,17.265978
10202008: Ward 8,13.256777
10202009: Ward 9,12.597388
10202010: Ward 10,17.888302
10202011: Ward 11,16.850662
10202012: Ward 12,12.039194
10203001: Ward 1,14.963235
10203002: Ward 2,3.9638016
10203003: Ward 3,15.070914
10203004: Ward 4,5.3620915
10203005: Ward 5,18.85523
10203006: Ward 6,21.905516
10203007: Ward 7,14.545574
10203008: Ward 8,18.424078
10203009: Ward 9,21.742365
10203010: Ward 10,15.199477
10203011: Ward 11,14.783935
10203012: Ward 12,22.599312
10203013: Ward 13,16.971369
10203014: Ward 14,16.47146
10203015: Ward 15,2.807877
10203016: Ward 16,23.773209
10203017: Ward 17,5.551746
10203018: Ward 18,9.422068
10203019: Ward 19,5.2078285
10203020: Ward 20,12.414113
10203021: Ward 21,17.177732
10203022: Ward 22,5.0185757
10203023: Ward 23,6.9624457
10203024: Ward 24,23.293488
10203025: Ward 25,16.988585
10203026: Ward 26,12.005309
10203027: Ward 27,16.603819
10203028: Ward 28,9.219087
10203029: Ward 29,8.098867
10203030: Ward 30,16.115395
10203031: Ward 31,16.423483
10204001: Ward 1,16.11525
10204002: Ward 2,15.515763
10204003: Ward 3,14.756119
10204004: Ward 4,11.713393
10204005: Ward 5,11.595471
10204006: Ward 6,9.117131
10204007: Ward 7,12.34547
10204008: Ward 8,12.818608
10204009: Ward 9,17.883139
10204010: Ward 10,15.251842
10204011: Ward 11,10.287413
10204012: Ward 12,22.893167
10204013: Ward 13,14.955578
10204014: Ward 14,21.82859
10204015: Ward 15,22.375513
10204016: Ward 16,15.152668
10204017: Ward 17,6.2866993
10204018: Ward 18,19.429745
10204019: Ward 19,15.382541
10204020: Ward 20,12.108505
10204021: Ward 21,5.1688514
10204022: Ward 22,3.2232711
10205001: Ward 1,17.352398
10205002: Ward 2,16.565752
10205003: Ward 3,20.154146
10205004: Ward 4,18.221148
10205005: Ward 5,16.791348
10205006: Ward 6,5.1773477
10205007: Ward 7,5.766229
10205008: Ward 8,16.844168
10205009: Ward 9,14.071795
10205010: Ward 10,16.215115
10205011: Ward 11,12.182148
10205012: Ward 12,12.104792
10205013: Ward 13,8.614494
10205014: Ward 14,14.402541
10205015: Ward 15,4.9037356
10205016: Ward 16,19.337845
10205017: Ward 17,23.727358
10205018: Ward 18,22.072994
10205019: Ward 19,18.471678
10205020: Ward 20,16.86957
10205021: Ward 21,18.381863
10206001: Ward 1,8.917928
10206002: Ward 2,13.412341
10206003: Ward 3,15.374641
10206004: Ward 4,21.395554
10206005: Ward 5,11.629732
10206006: Ward 6,11.085263
10206007: Ward 7,10.647935
10206008: Ward 8,13.739821
10206009: Ward 9,13.964389
10206010: Ward 10,25.175224
10206011: Ward 11,13.160343
10206012: Ward 12,14.347087
10304001: Ward 1,8.439583
10304002: Ward 2,13.969139
10304003: Ward 3,14.453967
10304004: Ward 4,8.407465
10304005: Ward 5,15.158108
10301001: Ward 1,13.165129
10301002: Ward 2,14.782646
10301003: Ward 3,14.098549
10301004: Ward 4,9.958622
10301005: Ward 5,13.133295
10301006: Ward 6,16.49401
10301007: Ward 7,13.797342
10301008: Ward 8,15.089242
10301009: Ward 9,19.510464
10301010: Ward 10,15.160596
10301011: Ward 11,16.139317
10301012: Ward 12,20.911774
10301013: Ward 13,16.52096
10302001: Ward 1,17.421581
10302002: Ward 2,9.847609
10302003: Ward 3,3.4051473
10302004: Ward 4,10.7321
10302005: Ward 5,13.7727375
10302006: Ward 6,15.304619
10302007: Ward 7,3.107814
10302008: Ward 8,12.983859
10302009: Ward 9,4.2795277
10302010: Ward 10,10.653462
10302011: Ward 11,11.789411
10302012: Ward 12,16.968159
10302013: Ward 13,3.158256
10303001: Ward 1,11.412787
10303002: Ward 2,12.520199
10303003: Ward 3,16.379356
10303004: Ward 4,5.493701
10303005: Ward 5,7.3220053
10401001: Ward 1,11.576736
10401002: Ward 2,13.409685
10401003: Ward 3,18.527897
10401004: Ward 4,11.320229
10402001: Ward 1,7.599695
10402002: Ward 2,11.317267
10402003: Ward 3,3.1181464
10402004: Ward 4,14.995107
10402005: Ward 5,10.913252
10402006: Ward 6,14.575864
10402007: Ward 7,7.6785774
10402008: Ward 8,17.204771
10403001: Ward 1,19.880835
10403002: Ward 2,19.108995
10403003: Ward 3,19.609344
10403004: Ward 4,6.480789
10403005: Ward 5,2.906646
10403006: Ward 6,3.523479
10403007: Ward 7,6.281388
10403008: Ward 8,4.561717
10403009: Ward 9,14.045055
10403010: Ward 10,2.252654
10403011: Ward 11,10.118499
10403012: Ward 12,14.93754
10403013: Ward 13,12.767196
10403014: Ward 14,14.1526575
10404001: Ward 1,10.884848
10404002: Ward 2,2.9872925
10404003: Ward 3,3.4998055
10404004: Ward 4,9.5441
10404005: Ward 5,4.5362225
10404006: Ward 6,15.623753
10404007: Ward 7,15.418896
10404008: Ward 8,14.675473
10404009: Ward 9,20.074001
10404010: Ward 10,22.811646
10404011: Ward 11,16.203114
10404012: Ward 12,17.270649
10404013: Ward 13,18.144838
10404014: Ward 14,13.488906
10404015: Ward 15,20.937845
10404016: Ward 16,12.225818
10404017: Ward 17,13.652434
10404018: Ward 18,2.841009
10404019: Ward 19,5.815467
10404020: Ward 20,20.073116
10404021: Ward 21,18.19572
10404022: Ward 22,8.545786
10404023: Ward 23,9.481332
10404024: Ward 24,14.439782
10404025: Ward 25,13.708809
10405001: Ward 1,6.9029036
10405002: Ward 2,6.355367
10405003: Ward 3,9.280074
10405004: Ward 4,17.467402
10405005: Ward 5,20.321672
10405006: Ward 6,17.124454
10405007: Ward 7,11.899755
10405008: Ward 8,18.354301
10405009: Ward 9,25.922567
10405010: Ward 10,21.225483
10405011: Ward 11,18.106647
10405012: Ward 12,16.667042
10405013: Ward 13,15.131166
10407001: Ward 1,14.636875
10407002: Ward 2,6.380409
10407003: Ward 3,15.129944
10407004: Ward 4,16.451273
10407005: Ward 5,16.405437
10407006: Ward 6,17.261978
10407007: Ward 7,15.209081
10408001: Ward 1,13.624423
10408002: Ward 2,7.9496903
10408003: Ward 3,16.9077
10408004: Ward 4,15.284017
10408005: Ward 5,11.3177805
10408006: Ward 6,16.155258
10408007: Ward 7,20.002697
10408008: Ward 8,14.433723
10408009: Ward 9,7.0183125
10408010: Ward 10,3.3214989
10501001: Ward 1,15.831098
10501002: Ward 2,9.473082
10501003: Ward 3,5.570417
10501004: Ward 4,11.616687
10502001: Ward 1,12.767756
10502002: Ward 2,6.495047
10502003: Ward 3,21.04929
10502004: Ward 4,13.839512
10503001: Ward 1,23.769878
10503002: Ward 2,10.1040325
10503003: Ward 3,18.476126
10503004: Ward 4,11.34629
10503005: Ward 5,18.99956
10503006: Ward 6,22.735535
10503007: Ward 7,18.674364
19100001: Ward 1,2.3666182
19100002: Ward 2,6.156362
19100003: Ward 3,4.2340903
19100004: Ward 4,10.360334
19100005: Ward 5,3.3525734
19100006: Ward 6,15.458976
19100007: Ward 7,8.681054
19100008: Ward 8,6.1266184
19100009: Ward 9,13.592771
19100010: Ward 10,10.01392
19100011: Ward 11,9.321752
19100012: Ward 12,11.948302
19100013: Ward 13,16.350756
19100014: Ward 14,9.636462
19100015: Ward 15,3.2468784
19100016: Ward 16,14.672005
19100017: Ward 17,9.65111
19100018: Ward 18,23.827213
19100019: Ward 19,14.731272
19100020: Ward 20,18.517124
19100021: Ward 21,2.3913465
19100022: Ward 22,12.181787
19100023: Ward 23,3.8313031
19100024: Ward 24,16.23597
19100025: Ward 25,15.202519
19100026: Ward 26,10.142054
19100027: Ward 27,5.892409
